frame_nb,letter_count,pixel_norm_diff,hist_norm_diff,x_flow,y_flow,nb_flow_points,is_credit
10,118,29645.316459771515,299533.3623588531,5.6095266,79.709335,1,False
20,185,11987.509374344614,1515.2161561968642,-0.24417114,-0.03572591,3,False
30,234,11610.279970784512,3018.7633229519665,0.039226186,-0.029869772,11,False
40,246,8887.765748488198,1015.8966482866257,-0.2199463,-0.039504625,20,False
50,254,4288.8152210138405,715.4327361813968,0.12904291,-0.1672234,23,False
60,224,2333.476162295214,1903.4610581779707,0.029941905,-0.052296724,22,False
70,226,272.8039589155553,542.6214149847018,-0.00011790882,-0.0006873391,22,False
80,241,238.36526592605728,343.50836962146934,0.00035028873,-0.00029887323,23,False
90,244,495.0646422438185,1480.7889788892946,0.00061035156,0.0003035172,23,False
100,243,16.76305461424021,77.38216848861241,0.0,0.0,23,False
110,242,53.80520420925842,67.30527468185537,-9.2879585e-05,-1.4927076e-05,23,False
120,246,151.82226450688975,246.74683381960548,-0.00093675696,-0.0008143549,23,False
130,246,15.716233645501712,95.96874491208062,0.0,0.0,23,False
140,236,285.2139547778124,104.39348638684312,5.5727753e-05,-0.0004036945,23,False
150,26,4479.310326378381,303802.3133519559,-3.6586516,0.93196535,23,False
160,57,8177.247336359589,2308.022963490615,0.059880152,0.26335907,36,False
170,87,7970.688803359469,1926.098647525614,0.030404992,0.08657342,37,False
180,84,799.7061960495241,1609.2756134360577,0.0022933548,0.008733389,37,False
190,84,47.61302342846965,38.62641583165593,-2.7305201e-05,-0.00077739515,38,False
200,79,46.17358552246078,37.57658845611187,-0.000101189864,-3.172222e-05,38,False
210,82,267.6153956707274,216.36080975999326,0.00018029464,0.002252679,38,False
220,83,8.831760866327848,90.9945053286186,1.8970386e-05,-2.5568781e-05,37,False
230,83,47.70744176750625,56.19608527290847,-0.00019712705,-1.484639e-05,37,False
240,82,28.6705423736629,105.34704552098269,3.7115973e-05,2.886798e-06,37,False
250,84,19.026297590440446,91.0823802938856,1.484639e-05,-1.1959592e-05,37,False
260,83,42.61455150532503,12.165525060596439,-2.0619986e-05,-8.2479943e-07,37,False
270,84,131.91285001848757,129.39088066784305,-0.00010846112,-0.00048539444,37,False
280,84,17.08800749063506,50.35871324805669,-0.00016660948,4.9487962e-06,37,False
290,83,50.40833264451424,70.52659073002182,0.0002556878,-0.00045900088,37,False
300,64,64.45153217728807,2308.2538855160624,-0.0769109,-0.13936265,37,False
310,31,67.35725647619564,2464.342102874518,-1.4659032,-1.4607317,37,False
320,0,9.848857801796104,4448.355426446947,-5.644201,-15.364475,36,False
330,0,70.42726744663604,8444.268351965136,4.2084575,3.316338,34,False
340,0,0.0,0.0,0.0,0.0,0,False
350,0,0.0,0.0,0.0,0.0,0,False
360,13,31729.360945345245,175721.93283708213,0.0,0.0,0,False
370,14,7365.243580493452,5608.28333806344,-0.12749872,0.056226905,44,False
380,12,7031.32370183595,2599.09407294157,1.6458486,2.4860861,42,False
390,41,30841.937503989597,20774.681128720124,40.4358,-9.332084,42,False
400,32,20254.01249135588,9498.809820182736,2.1768515,1.5317215,46,False
410,45,41407.21266880928,25956.729532050067,17.643034,10.781239,24,False
420,62,32881.388884899614,3272.928963482098,-6.5657625,-2.2676454,45,False
430,31,30913.039805234297,2438.569252656155,-1.8005651,-3.0954726,29,False
440,2,46260.719719866014,13331.596828587339,7.456691,-44.77814,19,False
450,4,9032.733694734945,4885.964592585583,1.1891989,0.058798473,6,False
460,2,12852.8147500849,1290.2123856171897,1.2858734,-3.7128155,6,False
470,1,23256.08541865978,2862.2840529898494,2.7155273,-17.93124,5,False
480,4,19322.054678527333,3464.7395284494332,10.038315,-5.894979,6,False
490,42,31856.119317958364,22322.2435700357,4.577429,18.653646,11,False
500,61,8877.805359434278,1042.7060947361917,0.2629682,-0.045442883,38,False
510,52,9934.219294942104,2172.9546704890095,-0.7466561,-0.2371281,41,False
520,52,11742.057443225187,1256.8412787619604,-2.2450452,0.28615123,40,False
530,95,35890.560653185676,32424.265419589694,-3.1953619,-14.522207,35,False
540,97,5508.1318974766755,2566.78982388508,0.0537529,0.13516726,14,False
550,81,4688.664628654944,948.981559357188,-0.17862056,-0.24045093,13,False
560,82,10986.026943349447,2516.9282866224057,-0.13875638,-2.9678457,13,False
570,68,4071.1615050253163,1995.1375892404012,0.4967534,-0.25681892,13,False
580,70,4810.098127897185,1176.8670273229682,0.33685538,0.8454408,13,False
590,12,16715.748323063493,30276.896142108093,-3.471641,1.6613946,13,False
600,4,12319.856370916019,4305.387322878163,-8.338115,2.4853237,3,False
610,12,12229.034712519218,1788.9974846265156,-1.119833,-0.07915974,4,False
620,26,11386.876613013772,3121.036686743685,2.1547165,1.6127739,4,False
630,14,10915.80478022578,1708.5046093001915,1.5627708,-3.4901428,4,False
640,22,11329.26762858041,5293.114772985751,-0.29364014,-5.768492,3,False
650,53,60113.447247683274,16147.167801196592,-56.99652,-4.788904,2,False
660,40,28123.279378479318,3710.214549052386,5.1923847,0.14875817,16,False
670,51,17561.233726592218,2361.1209202410623,1.6569004,-3.5587144,16,False
680,120,37811.2704097601,14792.815080301652,1.4382986,-27.23697,6,False
690,137,9480.910926698974,1446.8337845101628,-0.56709945,-0.55468625,28,False
700,141,11487.534940099204,865.6431135288954,-1.437148,-0.7664576,30,False
