frame_nb,letter_count,pixel_norm_diff,hist_norm_diff,x_flow,y_flow,nb_flow_points,is_credit
10,48,411.1763611882376,563.5814049451951,-0.000113974675,-0.00013453166,45,False
20,13,45292.05601427252,11553.72545978136,0.91084564,26.432888,45,False
30,11,2349.3207528985904,1292.8302286069893,0.015156882,0.0028969902,7,False
40,13,784.7649329576342,550.047270695892,-0.88000023,3.3723767,7,False
50,39,45748.114146924134,8585.305236274364,4.2942853,0.709933,33,False
60,42,2444.681369831251,1622.3606257549523,-0.00055660674,0.0014511956,45,False
70,35,772.0615260456902,566.4079801697712,0.0018130832,0.0038817087,45,False
80,6,29334.07453798398,9496.926976659344,-0.47910774,-6.1238155,41,False
90,10,2251.0837390021725,1770.5710943082743,0.009445025,-0.003258498,23,False
100,12,2235.695864825983,704.1377706102692,-0.001963343,0.0011858599,28,False
110,11,792.235444801607,637.2581894334509,0.0016555786,0.016908858,9,False
120,34,70035.71785167909,15454.978227095631,57.963886,14.632047,6,False
130,37,1428.2181205964305,939.2901575125761,0.02231644,-0.030010313,85,False
140,33,1517.1733585849706,898.7680457159122,0.01585395,-0.00769102,84,False
150,38,2112.900849543111,1232.5558810861276,0.026748218,-0.0016101837,100,False
160,36,1265.8273973966593,920.1901977308821,0.010363808,0.0026459885,100,False
170,5,43201.225237254555,7802.534588196325,-8.079812,-7.772218,97,False
180,10,10716.674997404745,1564.7306477474006,2.1161125,0.04487509,34,False
190,14,13763.40136012897,2127.263970455947,4.2123427,1.8168368,41,False
200,15,15252.372602319942,1421.708127570494,4.5952315,-0.4970347,34,False
210,17,8497.110508873002,1227.2839932142845,-0.4842628,1.0852327,35,False
220,18,13062.709251912484,1264.6699174092819,-1.642479,0.6958985,29,False
230,16,9230.563688096194,1504.0724716581976,-1.3771411,3.5966942,28,False
240,17,10272.065615055231,1273.6475179577747,1.2493755,0.27013606,23,False
250,17,10890.78041280789,1154.0181974301793,2.1312325,-0.26595384,28,False
260,19,11534.234044790317,1223.216252344613,2.2311263,-0.22321583,26,False
270,22,10744.336228916145,1296.5253564817003,1.4492503,-1.7786181,30,False
280,26,11931.84269088392,1320.8800096905093,-2.0389433,-0.1277835,32,False
290,16,10844.664586791056,1002.7133189501374,-2.0484366,1.1296923,32,False
300,19,9381.887230189883,1073.11229608089,-0.085306,0.07358765,29,False
310,16,10213.265050903163,1017.7082096554002,0.16419514,-0.3523474,27,False
320,14,8255.104966019511,1086.9010994566156,0.63416046,-0.02052491,28,False
330,10,8625.988870848374,1314.1658951593593,0.4237989,-0.30934194,36,False
340,16,9377.912614222847,1159.405882338019,0.2826286,0.24812825,33,False
350,14,9359.802241500618,996.394500185544,-0.5136388,0.08968118,30,False
360,13,6720.797348529414,1200.3166248952816,0.6684012,-0.106537886,28,False
370,17,7111.9103622022685,826.6135735638509,0.026812915,-0.44684765,29,False
380,18,5765.283687729512,937.9307010648495,0.42237,0.24505931,29,False
390,20,6207.436588479982,1032.7429496249297,-0.19471185,-0.046930216,29,False
400,13,8763.606050023016,931.0048334998052,1.2176397,0.19288635,26,False
410,23,11208.436777713474,1078.2439427142635,2.168782,0.40300983,29,False
420,20,10629.668245058263,1185.321897207674,1.6048714,0.112053804,27,False
430,18,8785.457415524817,921.9392604721853,1.0152632,-0.50254923,31,False
440,19,7649.640579791968,1183.2514525661907,-0.56697184,0.45414123,34,False
450,22,14623.887239718446,1626.5491077738784,-3.9007823,-1.8441628,37,False
460,36,33761.73791439061,9178.860713618004,10.451906,-12.852161,27,False
470,39,33689.844181889595,2759.3303535459468,10.779074,1.4175224,73,False
480,63,35946.86253346737,3163.1866843422313,5.6788244,-1.3874732,54,False
490,47,35835.87014431211,2099.313221032059,4.717428,2.7674773,52,False
500,46,34837.26800425085,2651.8872525052793,7.8637013,-1.0610577,50,False
510,41,34380.55264244599,2872.3638348927875,6.0112457,-0.31107405,62,False
520,44,32099.991884734176,3277.7519735330798,5.1307435,1.4001812,59,False
